what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761473716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322761494168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761497871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761570794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761571691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761613338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761614994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761616076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761617161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322761622208
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1322761629353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322761644419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322761648056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322761648852
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1322761662728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322761663759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322761664359
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322761670549
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322761670726
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322761678093
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322761687975
